Toss_Result,Winner,Total_turns
Player: 1,Player: 1,57
Player: 2,Player: 1,298
Player: 1,Player: 2,35
Player: 1,Player: 2,23
Player: 2,Player: 2,83
Player: 2,Player: 2,101
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
Player: 2,Player: 1,74
Player: 1,Player: 2,23
Player: 2,Player: 2,78
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
Player: 2,Player: 1,74
