Toss_Result,Winner,Total_turns
Player: 1,Player: 1,63
Player: 1,Player: 2,46
Player: 1,Player: 2,44
Player: 1,Player: 2,36
Player: 1,Player: 2,37
Player: 2,Player: 2,28
Player: 2,Player: 2,25
Player: 2,Player: 2,89
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
Player: 2,Player: 1,74
Player: 1,Player: 2,23
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89

