Toss_Result,Winner,Total_turns
Player: 1,Player: 2,62
Player: 2,Player: 1,44
Player: 2,Player: 2,40
Player: 1,Player: 1,26
Player: 1,Player: 1,22
Player: 2,Player: 1,19
Player: 2,Player: 1,22
Player: 1,Player: 1,10
Player: 1,Player: 2,1
Player: 1,Player: 2,1
Player: 1,Player: 2,1
Player: 1,Player: 2,1
Player: 1,Player: 2,1
Player: 2,Player: 2,1
Player: 2,Player: 2,1
Player: 2,Player: 2,1
Player: 2,Player: 2,1
Player: 2,Player: 2,1
Player: 1,Player: 2,1
Player: 2,Player: 2,1
