Toss_Result,Winner,Total_turns
Player: 1,Player: 1,133
Player: 1,Player: 1,28
Player: 1,Player: 1,27
Player: 2,Player: 1,31
Player: 2,Player: 1,28
Player: 1,Player: 1,43
Player: 1,Player: 1,39
Player: 2,Player: 1,40
Player: 1,Player: 1,39
Player: 2,Player: 1,25
Player: 2,Player: 2,28
Player: 1,Player: 1,47
Player: 1,Player: 1,36
Player: 1,Player: 1,24
Player: 1,Player: 2,58
Player: 1,Player: 1,47
Player: 1,Player: 1,63
Player: 1,Player: 1,36
Player: 1,Player: 1,27
Player: 1,Player: 1,154
