Toss_Result,Winner,Total_turns
Player: 2,Player: 1,491
Player: 2,Player: 2,110
Player: 1,Player: 1,59
Player: 2,Player: 1,48
Player: 1,Player: 2,104
Player: 1,Player: 2,28
Player: 1,Player: 2,24
Player: 1,Player: 2,81
Player: 1,Player: 1,48
Player: 1,Player: 2,75
Player: 2,Player: 2,156
Player: 2,Player: 1,41
Player: 2,Player: 1,923
Player: 2,Player: 1,21
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
Player: 2,Player: 1,74
