Toss_Result,Winner,Total_turns
Player: 2,Player: 2,66
Player: 1,Player: 2,40
Player: 1,Player: 1,66
Player: 2,Player: 1,46
Player: 2,Player: 1,56
Player: 2,Player: 2,28
Player: 2,Player: 2,22
Player: 2,Player: 2,21
Player: 1,Player: 2,22
Player: 1,Player: 2,20
Player: 2,Player: 1,39
Player: 2,Player: 2,36
Player: 1,Player: 2,96
Player: 2,Player: 2,23
Player: 2,Player: 1,92
Player: 2,Player: 1,32
Player: 1,Player: 2,46
Player: 1,Player: 1,36
Player: 2,Player: 1,33
Player: 2,Player: 2,55
