Toss_Result,Winner,Total_turns
Player: 2,Player: 1,29
Player: 2,Player: 1,25
Player: 1,Player: 1,22
Player: 1,Player: 1,21
Player: 2,Player: 1,20
Player: 1,Player: 1,19
Player: 1,Player: 1,23
Player: 2,Player: 1,28
Player: 2,Player: 1,22
Player: 1,Player: 1,23
Player: 1,Player: 1,25
Player: 1,Player: 1,24
Player: 2,Player: 1,24
Player: 1,Player: 1,33
Player: 1,Player: 1,23
Player: 1,Player: 1,27
Player: 1,Player: 1,28
Player: 1,Player: 1,61
Player: 2,Player: 1,24
Player: 1,Player: 1,24
