Toss_Result,Winner,Total_turns
Player: 1,Player: 1,49
Player: 1,Player: 2,76
Player: 2,Player: 2,380
Player: 1,Player: 2,25
Player: 1,Player: 2,76
Player: 1,Player: 2,33
Player: 2,Player: 2,23
Player: 1,Player: 1,42
Player: 2,Player: 2,66
Player: 2,Player: 1,64
Player: 1,Player: 1,23
Player: 1,Player: 2,72
Player: 1,Player: 2,22
Player: 2,Player: 2,21
Player: 2,Player: 2,37
Player: 2,Player: 1,130
Player: 2,Player: 2,78
Player: 1,Player: 2,24
Player: 1,Player: 1,58
Player: 1,Player: 1,43
