Toss_Result,Winner,Total_turns
Player: 1,Player: 1,155
Player: 2,Player: 2,65
Player: 1,Player: 2,63
Player: 2,Player: 2,88
Player: 2,Player: 2,59
Player: 1,Player: 2,55
Player: 1,Player: 2,32
Player: 1,Player: 2,28
Player: 2,Player: 2,23
Player: 2,Player: 2,39
Player: 1,Player: 2,140
Player: 1,Player: 2,26
Player: 1,Player: 2,21
Player: 2,Player: 2,27
Player: 1,Player: 2,23
Player: 1,Player: 2,71
Player: 1,Player: 1,28
Player: 2,Player: 2,39
Player: 1,Player: 2,25
Player: 1,Player: 2,61
