Toss_Result,Winner,Total_turns
Player: 2,Draw,200
Player: 2,Player: 1,38
Player: 2,Player: 1,41
Player: 2,Player: 1,50
Player: 1,Player: 2,81
Player: 2,Player: 1,44
Player: 2,Player: 1,83
Player: 1,Player: 2,93
Player: 1,Player: 1,28
Player: 2,Player: 1,35
Player: 2,Player: 1,96
Player: 1,Player: 1,38
Player: 2,Player: 2,51
Player: 2,Player: 2,29
Player: 1,Player: 2,70
Player: 1,Player: 2,28
Player: 2,Player: 2,77
Player: 1,Player: 2,80
Player: 2,Player: 2,15
Player: 1,Player: 1,57
