Toss_Result,Winner,Total_turns
Player: 1,Player: 2,64
Player: 2,Player: 2,33
Player: 2,Player: 2,22
Player: 1,Player: 2,23
Player: 2,Player: 2,22
Player: 2,Player: 2,58
Player: 1,Player: 2,24
Player: 2,Player: 2,28
Player: 1,Player: 2,55
Player: 1,Player: 2,54
Player: 1,Player: 2,26
Player: 2,Player: 2,30
Player: 2,Player: 2,25
Player: 2,Player: 2,24
Player: 2,Player: 2,32
Player: 1,Player: 2,22
Player: 2,Player: 1,54
Player: 1,Player: 2,89
Player: 1,Player: 1,360
Player: 1,Player: 2,34
