Toss_Result,Winner,Total_turns
Player: 1,Player: 2,53
Player: 1,Player: 1,68
Player: 1,Player: 1,50
Player: 1,Player: 1,57
Player: 1,Player: 1,108
Player: 1,Player: 1,138
Player: 1,Player: 1,26
Player: 2,Player: 1,24
Player: 1,Player: 1,52
Player: 1,Player: 1,26
Player: 1,Player: 1,29
Player: 2,Player: 1,25
Player: 1,Player: 2,358
Player: 2,Player: 2,165
Player: 2,Player: 2,93
Player: 2,Player: 2,165
Player: 1,Player: 1,24
Player: 2,Player: 1,52
Player: 1,Player: 2,62
Player: 1,Player: 2,69
