Toss_Result,Winner,Total_turns
Player: 1,Player: 1,62
Player: 2,Player: 1,47
Player: 2,Draw,200
Player: 2,Player: 1,38
Player: 2,Player: 1,63
Player: 2,Player: 2,569
Player: 1,Player: 2,49
Player: 2,Player: 1,39
Player: 2,Player: 2,55
Player: 2,Player: 1,24
Player: 2,Player: 1,26
Player: 2,Player: 1,32
Player: 2,Player: 1,38
Player: 1,Player: 1,29
Player: 2,Player: 1,24
Player: 1,Player: 1,57
Player: 1,Player: 1,51
Player: 2,Player: 1,27
Player: 2,Player: 1,36
Player: 2,Player: 2,25
