Toss_Result,Winner,Total_turns
Player: 2,Player: 2,46
Player: 1,Player: 2,57
Player: 1,Player: 2,24
Player: 2,Player: 2,77
Player: 2,Player: 2,41
Player: 1,Player: 1,37
Player: 1,Player: 1,60
Player: 1,Player: 1,768
Player: 1,Player: 2,43
Player: 2,Player: 2,30
Player: 1,Player: 2,44
Player: 2,Player: 2,47
Player: 2,Player: 2,48
Player: 1,Player: 2,24
Player: 2,Player: 2,25
Player: 1,Player: 2,21
Player: 1,Player: 2,23
Player: 2,Player: 2,21
Player: 2,Player: 1,28
Player: 1,Player: 1,48
