Toss_Result,Winner,Total_turns
Player: 1,Player: 1,58
Player: 1,Player: 1,86
Player: 2,Player: 1,32
Player: 1,Player: 1,23
Player: 1,Player: 1,42
Player: 1,Player: 1,33
Player: 2,Player: 1,35
Player: 2,Player: 2,168
Player: 2,Player: 2,34
Player: 1,Player: 2,40
Player: 2,Player: 2,23
Player: 1,Player: 2,26
Player: 1,Player: 2,24
Player: 1,Player: 1,46
Player: 2,Player: 1,10
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
