Toss_Result,Winner,Total_turns
Player: 1,Player: 1,33
Player: 1,Player: 2,598
Player: 1,Player: 2,37
Player: 1,Player: 2,28
Player: 2,Player: 1,36
Player: 1,Player: 2,49
Player: 2,Player: 2,141
Player: 2,Player: 1,37
Player: 2,Player: 2,48
Player: 1,Player: 1,34
Player: 1,Player: 1,98
Player: 2,Player: 1,33
Player: 1,Player: 2,43
Player: 2,Player: 1,26
Player: 1,Player: 1,30
Player: 1,Player: 1,40
Player: 2,Player: 1,25
Player: 2,Player: 1,33
Player: 2,Player: 2,23
Player: 2,Player: 2,30
