Toss_Result,Winner,Total_turns
Player: 1,Draw,1400
Player: 2,Draw,1200
Player: 1,Player: 1,29
Player: 2,Player: 1,21
Player: 2,Player: 2,10
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
Player: 2,Player: 1,74
Player: 1,Player: 2,23
Player: 2,Player: 2,78
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
Player: 2,Player: 1,74
Player: 1,Player: 2,23
