Toss_Result,Winner,Total_turns
Player: 2,Player: 2,162
Player: 1,Player: 1,32
Player: 2,Player: 1,70
Player: 1,Player: 1,29
Player: 2,Player: 1,48
Player: 2,Player: 2,39
Player: 2,Player: 1,53
Player: 2,Player: 1,36
Player: 2,Player: 1,22
Player: 2,Player: 1,95
Player: 2,Player: 2,65
Player: 2,Player: 1,40
Player: 2,Player: 1,22
Player: 1,Player: 1,119
Player: 1,Player: 2,53
Player: 2,Player: 1,23
Player: 1,Player: 1,42
Player: 1,Player: 1,32
Player: 2,Player: 2,285
Player: 2,Player: 2,306
