Toss_Result,Winner,Total_turns
Player: 1,Player: 1,364
Player: 1,Player: 1,34
Player: 1,Player: 1,76
Player: 2,Player: 1,22
Player: 2,Player: 1,43
Player: 1,Player: 1,24
Player: 1,Player: 2,51
Player: 2,Player: 2,174
Player: 1,Player: 2,39
Player: 2,Player: 1,70
Player: 1,Player: 1,188
Player: 1,Player: 1,28
Player: 1,Player: 1,25
Player: 2,Player: 1,49
Player: 2,Player: 2,123
Player: 2,Player: 2,75
Player: 1,Player: 1,32
Player: 2,Player: 1,113
Player: 2,Player: 1,39
Player: 1,Player: 1,96
