Toss_Result,Winner,Total_turns
Player: 2,Player: 2,80
Player: 1,Player: 1,38
Player: 2,Player: 1,23
Player: 2,Player: 1,45
Player: 2,Player: 1,42
Player: 1,Player: 1,25
Player: 1,Player: 1,34
Player: 2,Player: 1,27
Player: 1,Player: 1,48
Player: 1,Player: 1,26
Player: 2,Player: 1,50
Player: 2,Player: 1,48
Player: 1,Player: 2,61
Player: 1,Player: 1,33
Player: 1,Player: 1,33
Player: 1,Player: 1,50
Player: 1,Player: 2,21
Player: 1,Player: 2,25
Player: 1,Player: 2,20
Player: 2,Player: 2,75
