Toss_Result,Winner,Total_turns
Player: 2,Player: 1,23
Player: 2,Player: 1,18
Player: 2,Player: 1,45
Player: 1,Player: 1,18
Player: 1,Player: 1,20
Player: 2,Player: 1,25
Player: 1,Player: 1,23
Player: 2,Player: 1,24
Player: 1,Draw,200
Player: 1,Player: 1,39
Player: 2,Player: 1,24
Player: 1,Player: 1,20
Player: 1,Player: 1,23
Player: 1,Player: 1,27
Player: 2,Player: 1,21
Player: 2,Player: 1,22
Player: 2,Player: 1,32
Player: 1,Player: 1,29
Player: 1,Player: 1,21
Player: 1,Player: 1,20
