Toss_Result,Winner,Total_turns
Player: 1,Player: 2,68
Player: 2,Player: 1,46
Player: 1,Player: 1,23
Player: 2,Player: 2,51
Player: 1,Player: 2,80
Player: 1,Player: 1,24
Player: 2,Player: 1,44
Player: 1,Player: 1,29
Player: 1,Player: 1,23
Player: 2,Player: 1,40
Player: 2,Player: 1,51
Player: 2,Player: 2,420
Player: 2,Player: 2,108
Player: 2,Player: 1,31
Player: 1,Player: 1,33
Player: 2,Player: 2,85
Player: 2,Player: 1,33
Player: 2,Player: 2,114
Player: 2,Player: 1,51
Player: 2,Player: 1,68
