Toss_Result,Winner,Total_turns
Player: 2,Player: 1,22
Player: 2,Player: 1,44
Player: 2,Player: 1,21
Player: 2,Player: 1,32
Player: 2,Player: 1,34
Player: 1,Player: 1,66
Player: 2,Player: 1,29
Player: 1,Player: 1,28
Player: 2,Player: 1,24
Player: 1,Player: 1,30
Player: 2,Player: 1,45
Player: 1,Player: 1,21
Player: 2,Player: 1,30
Player: 1,Player: 1,38
Player: 2,Player: 1,20
Player: 1,Player: 1,31
Player: 2,Player: 2,26
Player: 2,Player: 1,46
Player: 1,Player: 1,27
Player: 1,Player: 1,28
