Toss_Result,Winner,Total_turns
Player: 2,Player: 2,49
Player: 2,Player: 1,26
Player: 2,Player: 2,54
Player: 1,Player: 2,25
Player: 2,Player: 2,34
Player: 2,Player: 1,43
Player: 1,Player: 1,31
Player: 2,Player: 2,88
Player: 1,Player: 1,52
Player: 1,Player: 1,19
Player: 1,Player: 1,34
Player: 2,Player: 1,28
Player: 2,Player: 1,25
Player: 2,Player: 1,31
Player: 1,Player: 1,28
Player: 2,Player: 2,26
Player: 2,Player: 2,23
Player: 1,Player: 2,40
Player: 2,Player: 2,32
Player: 2,Player: 2,25
