Toss_Result,Winner,Total_turns
Player: 1,Player: 2,23
Player: 1,Player: 1,52
Player: 1,Player: 1,68
Player: 1,Player: 1,50
Player: 1,Player: 1,41
Player: 2,Player: 1,41
Player: 2,Player: 2,54
Player: 1,Player: 1,27
Player: 2,Player: 1,20
Player: 1,Player: 2,67
Player: 2,Player: 2,199
Player: 2,Player: 1,28
Player: 1,Player: 1,30
Player: 2,Player: 1,20
Player: 2,Player: 1,27
Player: 1,Player: 1,28
Player: 2,Player: 1,101
Player: 2,Player: 2,36
Player: 1,Player: 2,28
Player: 2,Player: 1,54
