Toss_Result,Winner,Total_turns
Player: 1,Player: 1,33
Player: 1,Player: 1,23
Player: 1,Player: 1,25
Player: 1,Player: 1,19
Player: 2,Player: 2,269
Player: 2,Player: 2,57
Player: 1,Player: 2,40
Player: 2,Player: 2,15
Player: 1,Player: 2,25
Player: 1,Player: 2,21
Player: 2,Player: 1,29
Player: 2,Player: 2,177
Player: 1,Player: 2,59
Player: 1,Player: 2,30
Player: 1,Player: 2,117
Player: 1,Player: 2,63
Player: 1,Player: 2,86
Player: 1,Player: 2,36
Player: 1,Player: 2,29
Player: 1,Player: 1,35
