Toss_Result,Winner,Total_turns
Player: 1,Player: 2,330
Player: 1,Player: 1,77
Player: 1,Player: 2,192
Player: 1,Player: 2,63
Player: 1,Player: 1,178
Player: 1,Player: 2,93
Player: 1,Draw,600
Player: 1,Player: 1,51
Player: 2,Player: 1,24
Player: 2,Player: 1,55
Player: 1,Player: 1,21
Player: 1,Player: 1,19
Player: 2,Player: 1,292
Player: 1,Player: 2,145
Player: 2,Player: 2,10
Player: 1,Player: 1,57
Player: 1,Player: 2,10
Player: 2,Player: 2,60
Player: 2,Player: 1,58
Player: 1,Player: 1,89
