Toss_Result,Winner,Total_turns
Player: 1,Player: 1,52
Player: 2,Player: 1,15
Player: 2,Player: 1,32
Player: 1,Player: 1,29
Player: 1,Player: 1,28
Player: 1,Player: 1,98
Player: 1,Player: 1,27
Player: 2,Player: 1,22
Player: 2,Player: 1,27
Player: 1,Player: 1,25
Player: 1,Player: 1,108
Player: 1,Player: 1,31
Player: 2,Player: 1,54
Player: 2,Player: 1,18
Player: 1,Player: 1,28
Player: 1,Draw,300
Player: 2,Player: 1,30
Player: 2,Player: 1,27
Player: 1,Player: 1,41
Player: 2,Player: 1,129
